x,value
-3,-0.14112000805986722209
-2.9,-0.23924932921398232816
-2.8,-0.33498815015590491957
-2.7,-0.42737988023382993458
-2.6,-0.51550137182146423528
-2.5,-0.59847214410395649405
-2.4,-0.67546318055115092655
-2.3,-0.74570521217672017740
-2.2,-0.80849640381959018427
-2.1,-0.86320936664887377068
-2.0,-0.90929742682568169542
-1.9,-0.94630008768741448847
-1.8,-0.97384763087819518655
-1.7,-0.99166481045246861535
-1.6,-0.99957360304150516437
-1.5,-0.99749498660405443094
-1.4,-0.98544972998846018067
-1.3,-0.96355818541719296470
-1.2,-0.93203908596722634967
-1.1,-0.89120736006143533996
-1.0,-0.84147098480789650666
-0.9,-0.78332690962748338845
-0.8,-0.71735609089952276162
-0.7,-0.64421768723769105368
-0.6,-0.56464247339503535721
-0.5,-0.47942553860420300026
-0.4,-0.38941834230865049166
-0.3,-0.29552020666133957510
-0.2,-0.19866933079506121546
-0.1,-0.099833416646828152306
0.0,0
0.1,0.099833416646828152306
0.2,0.19866933079506121546
0.3,0.29552020666133957510
0.4,0.38941834230865049166
0.5,0.47942553860420300026
0.6,0.56464247339503535721
0.7,0.64421768723769105368
0.8,0.71735609089952276162
0.9,0.78332690962748338845
1.0,0.84147098480789650666
1.1,0.89120736006143533996
1.2,0.93203908596722634967
1.3,0.96355818541719296470
1.4,0.98544972998846018067
1.5,0.99749498660405443094
1.6,0.99957360304150516437
1.7,0.99166481045246861535
1.8,0.97384763087819518655
1.9,0.94630008768741448847
2.0,0.90929742682568169542
2.1,0.86320936664887377068
2.2,0.80849640381959018427
2.3,0.74570521217672017740
2.4,0.67546318055115092655
2.5,0.59847214410395649405
2.6,0.51550137182146423528
2.7,0.42737988023382993458
2.8,0.33498815015590491957
2.9,0.23924932921398232816
3.0,0.14112000805986722209
